Start Time,End Time,Actor,Event Type,System 1,System 2,System 3,System 4,System 5
2020-02-08 05:59:45.571371,2020-02-08 06:01:02.024156,Actor 2,Event type 4,Yes,No,Yes,Yes,Yes
2020-02-08 06:06:12.734527,2020-02-08 06:11:23.444898,Actor 1,Event type 1,No,Yes,No,No,No
2020-02-08 06:13:54.520126,2020-02-08 06:16:25.595354,Actor 1,Event type 5,Yes,Yes,No,No,No
2020-02-08 06:18:15.715952,2020-02-08 06:20:05.836550,Actor 1,Event type 1,No,No,Yes,No,No
2020-02-08 06:25:33.517754,2020-02-08 06:31:01.198958,Actor 1,Event type 2,Yes,Yes,Yes,Yes,No
2020-02-08 06:33:37.392669,2020-02-08 06:36:13.586380,Actor 1,Event type 2,No,Yes,No,Yes,Yes
2020-02-08 06:37:19.086161,2020-02-08 06:38:24.585942,Actor 2,Event type 1,No,Yes,Yes,Yes,Yes
2020-02-08 06:39:20.448609,2020-02-08 06:40:16.311276,Actor 2,Event type 1,No,Yes,No,Yes,No
2020-02-08 06:40:39.292866,2020-02-08 06:41:02.274456,Actor 2,Event type 2,Yes,No,No,Yes,Yes
2020-02-08 06:43:29.459991,2020-02-08 06:45:56.645526,Actor 1,Event type 4,No,Yes,No,No,No
2020-02-08 06:49:29.202076,2020-02-08 06:53:01.758626,Actor 2,Event type 2,No,Yes,No,No,No
2020-02-08 06:58:30.720820,2020-02-08 07:03:59.683014,Actor 2,Event type 1,No,Yes,No,No,No
2020-02-08 07:09:20.546456,2020-02-08 07:14:41.409898,Actor 1,Event type 4,Yes,No,Yes,Yes,No
2020-02-08 07:18:01.538356,2020-02-08 07:21:21.666814,Actor 1,Event type 4,Yes,Yes,Yes,Yes,No
2020-02-08 07:23:40.171992,2020-02-08 07:25:58.677170,Actor 1,Event type 4,No,No,No,Yes,No
2020-02-08 07:28:05.942378,2020-02-08 07:30:13.207586,Actor 1,Event type 2,Yes,Yes,Yes,Yes,Yes
2020-02-08 07:31:31.982353,2020-02-08 07:32:50.757120,Actor 2,Event type 3,No,Yes,Yes,Yes,Yes
2020-02-08 07:38:45.139230,2020-02-08 07:44:39.521340,Actor 1,Event type 3,No,No,Yes,Yes,Yes
2020-02-08 07:48:53.069811,2020-02-08 07:53:06.618282,Actor 2,Event type 4,Yes,Yes,No,No,No
2020-02-08 07:55:44.393553,2020-02-08 07:58:22.168824,Actor 1,Event type 5,No,Yes,No,Yes,No
2020-02-08 08:02:59.967029,2020-02-08 08:07:37.765234,Actor 1,Event type 2,Yes,Yes,No,No,Yes
2020-02-08 08:09:56.361073,2020-02-08 08:12:14.956912,Actor 2,Event type 3,No,No,Yes,No,No
2020-02-08 08:17:52.195232,2020-02-08 08:23:29.433552,Actor 2,Event type 3,No,No,No,No,No
2020-02-08 08:27:38.035106,2020-02-08 08:31:46.636660,Actor 1,Event type 1,Yes,No,Yes,Yes,No
2020-02-08 08:32:25.354203,2020-02-08 08:33:04.071746,Actor 2,Event type 3,No,No,Yes,Yes,Yes
2020-02-08 08:34:02.573908,2020-02-08 08:35:01.076070,Actor 2,Event type 1,No,No,Yes,No,No
2020-02-08 08:39:27.449506,2020-02-08 08:43:53.822942,Actor 1,Event type 1,Yes,Yes,Yes,Yes,No
2020-02-08 08:48:36.077177,2020-02-08 08:53:18.331412,Actor 2,Event type 1,Yes,No,No,No,No
2020-02-08 08:59:09.492403,2020-02-08 09:05:00.653394,Actor 1,Event type 2,Yes,Yes,No,No,Yes
2020-02-08 09:08:05.343614,2020-02-08 09:11:10.033834,Actor 1,Event type 4,Yes,Yes,No,Yes,Yes
2020-02-08 09:15:43.561080,2020-02-08 09:20:17.088326,Actor 1,Event type 5,Yes,No,Yes,No,No
2020-02-08 09:25:31.889389,2020-02-08 09:30:46.690452,Actor 1,Event type 2,Yes,No,No,Yes,No
2020-02-08 09:33:18.621394,2020-02-08 09:35:50.552336,Actor 2,Event type 3,No,Yes,No,No,No
2020-02-08 09:40:17.613645,2020-02-08 09:44:44.674954,Actor 1,Event type 5,Yes,Yes,Yes,No,Yes
2020-02-08 09:47:56.888458,2020-02-08 09:51:09.101962,Actor 2,Event type 3,No,No,Yes,Yes,Yes
2020-02-08 09:52:21.480546,2020-02-08 09:53:33.859130,Actor 1,Event type 4,Yes,No,No,No,No
2020-02-08 09:55:24.044846,2020-02-08 09:57:14.230562,Actor 1,Event type 2,No,No,Yes,Yes,Yes
